unique_id,ds,y
GNP,1991-10-01,6297.761
GNP,1992-01-01,6395.836
GNP,1992-04-01,6502.819
GNP,1992-07-01,6595.851
GNP,1992-10-01,6711.112
GNP,1993-01-01,6766.665
GNP,1993-04-01,6839.59
GNP,1993-07-01,6918.254
GNP,1993-10-01,7034.356
GNP,1994-01-01,7143.011
GNP,1994-04-01,7269.779
GNP,1994-07-01,7352.37
GNP,1994-10-01,7475.65
GNP,1995-01-01,7552.116
GNP,1995-04-01,7613.638
GNP,1995-07-01,7701.977
GNP,1995-10-01,7803.073
GNP,1996-01-01,7905.735
GNP,1996-04-01,8061.846
GNP,1996-07-01,8157.22
GNP,1996-10-01,8291.163
GNP,1997-01-01,8385.773
GNP,1997-04-01,8549.503
GNP,1997-07-01,8685.903
GNP,1997-10-01,8782.231
GNP,1998-01-01,8891.834
GNP,1998-04-01,8992.195
GNP,1998-07-01,9130.667
GNP,1998-10-01,9306.215
GNP,1999-01-01,9437.614
GNP,1999-04-01,9557.13
GNP,1999-07-01,9715.248
GNP,1999-10-01,9938.31
GNP,2000-01-01,10035.263
GNP,2000-04-01,10283.391
GNP,2000-07-01,10348.645
GNP,2000-10-01,10490.43
GNP,2001-01-01,10510.297
GNP,2001-04-01,10647.427
GNP,2001-07-01,10623.039
GNP,2001-10-01,10748.408
GNP,2002-01-01,10833.143
GNP,2002-04-01,10918.384
GNP,2002-07-01,11027.515
GNP,2002-10-01,11120.565
GNP,2003-01-01,11217.689
GNP,2003-04-01,11369.131
GNP,2003-07-01,11621.172
GNP,2003-10-01,11851.792
GNP,2004-01-01,12021.455
GNP,2004-04-01,12185.61
GNP,2004-07-01,12386.919
GNP,2004-10-01,12581.653
GNP,2005-01-01,12854.364
GNP,2005-04-01,12996.998
GNP,2005-07-01,13225.668
GNP,2005-10-01,13378.959
GNP,2006-01-01,13654.952
GNP,2006-04-01,13802.877
GNP,2006-07-01,13906.646
GNP,2006-10-01,14083.697
GNP,2007-01-01,14258.594
GNP,2007-04-01,14463.277
GNP,2007-07-01,14681.751
GNP,2007-10-01,14875.943
GNP,2008-01-01,14857.342
GNP,2008-04-01,15023.21
GNP,2008-07-01,15075.73
GNP,2008-10-01,14704.022
GNP,2009-01-01,14551.583
GNP,2009-04-01,14504.002
GNP,2009-07-01,14631.308
GNP,2009-10-01,14826.345
GNP,2010-01-01,14968.895
GNP,2010-04-01,15187.024
GNP,2010-07-01,15339.713
GNP,2010-10-01,15522.784
GNP,2011-01-01,15574.336
GNP,2011-04-01,15780.01
GNP,2011-07-01,15893.498
GNP,2011-10-01,16102.811
GNP,2012-01-01,16314.993
GNP,2012-04-01,16435.211
GNP,2012-07-01,16548.753
GNP,2012-10-01,16647.685
GNP,2013-01-01,16864.086
GNP,2013-04-01,16957.701
GNP,2013-07-01,17194.256
GNP,2013-10-01,17427.64
GNP,2014-01-01,17435.205
GNP,2014-04-01,17746.905
GNP,2014-07-01,18056.23
GNP,2014-10-01,18134.846
GNP,2015-01-01,18286.27
GNP,2015-04-01,18491.766
GNP,2015-07-01,18614.786
GNP,2015-10-01,18667.767
GNP,2016-01-01,18740.558
GNP,2016-04-01,18927.449
GNP,2016-07-01,19112.464
GNP,2016-10-01,19364.643
GNP,2017-01-01,19552.357
GNP,2017-04-01,19702.804
GNP,2017-07-01,20001.049
GNP,2017-10-01,20363.997
GNP,2018-01-01,20643.376
GNP,2018-04-01,20884.383
GNP,2018-07-01,21066.974
GNP,2018-10-01,21192.559
GNP,2019-01-01,21403.915
GNP,2019-04-01,21690.852
GNP,2019-07-01,21996.917
GNP,2019-10-01,22195.823
GNP,2020-01-01,21998.949
GNP,2020-04-01,20113.855
GNP,2020-07-01,21894.428
GNP,2020-10-01,22255.575
GNP,2021-01-01,22840.255
GNP,2021-04-01,23498.853
GNP,2021-07-01,24057.411
GNP,2021-10-01,24938.771
GNP,2022-01-01,25333.142
GNP,2022-04-01,25966.766
GNP,2022-07-01,26448.575
GNP,2022-10-01,26876.174
GNP,2023-01-01,27264.425
GNP,2023-04-01,27558.547
GNP,2023-07-01,28068.197
GNP,2023-10-01,28391.849
GNP,2024-01-01,28706.261
GNP,2024-04-01,29076.614
GNP,2024-07-01,29388.064
GNP,2024-10-01,29801.493
