date,price
2024-01-02,288.34716796875
2024-01-03,285.77471923828125
2024-01-04,283.2022399902344
2024-01-05,280.5327453613281
2024-01-08,283.3575439453125
2024-01-09,282.3576965332031
2024-01-10,285.48345947265625
2024-01-11,285.5417175292969
2024-01-12,284.8816223144531
2024-01-16,282.5712585449219
2024-01-17,282.63922119140625
2024-01-18,285.74554443359375
2024-01-19,291.7350158691406
2024-01-22,289.6770324707031
2024-01-23,291.26904296875
2024-01-24,291.64764404296875
2024-01-25,288.51214599609375
2024-01-26,283.70703125
2024-01-29,283.7555236816406
2024-01-30,286.027099609375
2024-01-31,284.153564453125
2024-02-01,289.356689453125
2024-02-02,288.3568420410156
2024-02-05,277.60113525390625
2024-02-06,276.3197021484375
2024-02-07,278.9212951660156
2024-02-08,283.3866882324219
2024-02-09,280.99871826171875
2024-02-12,280.9695129394531
2024-02-13,278.7077331542969
2024-02-14,279.73675537109375
2024-02-15,283.31878662109375
2024-02-16,283.47406005859375
2024-02-20,284.0856018066406
2024-02-21,285.30877685546875
2024-02-22,287.2599182128906
2024-02-23,289.036376953125
2024-02-26,288.4248352050781
2024-02-27,285.1631774902344
2024-02-28,286.5513000488281
2024-02-29,285.3407287597656
2024-03-01,283.82757568359375
2024-03-04,284.03253173828125
2024-03-05,285.5945739746094
2024-03-06,285.9753112792969
2024-03-07,284.198486328125
2024-03-08,285.60430908203125
2024-03-11,287.8204040527344
2024-03-12,287.3225402832031
2024-03-13,276.1443786621094
2024-03-14,275.04119873046875
2024-03-15,272.5127258300781
2024-03-18,271.9659729003906
2024-03-19,276.1541442871094
2024-03-20,277.6966857910156
2024-03-21,276.7984924316406
2024-03-22,275.9198303222656
2024-03-25,272.0050354003906
2024-03-26,272.0050354003906
2024-03-27,275.3243103027344
2024-03-28,275.2560119628906
2024-04-01,273.56707763671875
2024-04-02,271.14593505859375
2024-04-03,268.9981689453125
2024-04-04,263.67755126953125
2024-04-05,260.3583068847656
2024-04-08,261.2076416015625
2024-04-09,263.0429992675781
2024-04-10,262.2912902832031
2024-04-11,262.242431640625
2024-04-12,261.0416564941406
2024-04-15,259.9092102050781
2024-04-16,259.1282043457031
2024-04-17,263.5408935546875
2024-04-18,264.54644775390625
2024-04-19,265.5324401855469
2024-04-22,269.0372314453125
2024-04-23,270.3063659667969
2024-04-24,270.179443359375
2024-04-25,269.0567626953125
2024-04-26,266.6063537597656
2024-04-29,267.055419921875
2024-04-30,266.5575256347656
2024-05-01,267.91455078125
2024-05-02,266.7918395996094
2024-05-03,263.902099609375
2024-05-06,262.90631103515625
2024-05-07,261.1490478515625
2024-05-08,262.11553955078125
2024-05-09,261.58837890625
2024-05-10,268.47100830078125
2024-05-13,264.87835693359375
2024-05-14,264.2340393066406
2024-05-15,267.3678283691406
2024-05-16,267.0163879394531
2024-05-17,265.9131774902344
2024-05-20,261.5102844238281
2024-05-21,259.5577392578125
2024-05-22,259.46014404296875
2024-05-23,251.80624389648438
2024-05-24,251.9819793701172
2024-05-28,247.5204620361328
2024-05-29,243.44947814941406
2024-05-30,246.0854034423828
2024-05-31,252.7434844970703
2024-06-03,255.2294158935547
2024-06-04,258.1477355957031
2024-06-05,255.4652557373047
2024-06-06,256.18255615234375
2024-06-07,251.75103759765625
2024-06-10,249.39280700683594
2024-06-11,249.85462951660156
2024-06-12,250.0511474609375
2024-06-13,249.2847137451172
2024-06-14,249.16680908203125
2024-06-17,249.0980224609375
2024-06-18,246.4253692626953
2024-06-20,249.38299560546875
2024-06-21,254.875732421875
2024-06-24,255.84849548339844
2024-06-25,252.9006805419922
2024-06-26,253.34283447265625
2024-06-27,253.6769256591797
2024-06-28,250.40487670898438
2024-07-01,245.63929748535156
2024-07-02,243.4775848388672
2024-07-03,245.6491241455078
2024-07-05,246.7201385498047
2024-07-08,243.53652954101563
2024-07-09,241.5418701171875
2024-07-10,246.13059997558594
2024-07-11,250.36557006835938
2024-07-12,249.48123168945313
2024-07-15,247.15249633789063
2024-07-16,252.79257202148438
2024-07-17,256.4576721191406
2024-07-18,255.00340270996094
2024-07-19,252.8024139404297
2024-07-22,255.02310180664063
2024-07-23,249.62864685058594
2024-07-24,248.96046447753906
2024-07-25,247.08370971679688
2024-07-26,247.6143035888672
2024-07-29,256.8703918457031
2024-07-30,261.8030090332031
2024-07-31,260.7810974121094
2024-08-01,264.0727844238281
2024-08-02,271.8746337890625
2024-08-05,263.7780456542969
2024-08-06,265.3600158691406
2024-08-07,264.6820068359375
2024-08-08,266.4703369140625
2024-08-09,263.2474365234375
2024-08-12,264.77044677734375
2024-08-13,265.60565185546875
2024-08-14,266.4310607910156
2024-08-15,270.0863037109375
2024-08-16,273.6432800292969
2024-08-19,282.5456237792969
2024-08-20,280.6590576171875
2024-08-21,284.6679992675781
2024-08-22,284.17669677734375
2024-08-23,284.4813232421875
2024-08-26,283.6559143066406
2024-08-27,284.5992431640625
2024-08-28,282.0543212890625
2024-08-29,282.8501892089844
2024-08-30,283.63629150390625
2024-09-03,282.1834716796875
2024-09-04,284.66412353515625
2024-09-05,284.6048583984375
2024-09-06,286.1268615722656
2024-09-09,287.88604736328125
2024-09-10,287.86627197265625
2024-09-11,286.8384704589844
2024-09-12,288.9336853027344
2024-09-13,293.0648193359375
2024-09-16,293.2229309082031
2024-09-17,290.3172912597656
2024-09-18,288.6174011230469
2024-09-19,290.4161376953125
2024-09-20,293.3612976074219
2024-09-23,295.56524658203125
2024-09-24,296.7611083984375
2024-09-25,296.9587707519531
2024-09-26,300.1015930175781
2024-09-27,300.1411437988281
2024-09-30,300.9515686035156
2024-10-01,299.439453125
2024-10-02,300.2103271484375
2024-10-03,299.9039611816406
2024-10-04,300.2103271484375
2024-10-07,297.3343505859375
2024-10-08,298.3720397949219
2024-10-09,300.27947998046875
2024-10-10,300.487060546875
2024-10-11,301.4753723144531
2024-10-14,306.2192687988281
2024-10-15,309.6783447265625
2024-10-16,309.2632751464844
2024-10-17,311.0224914550781
2024-10-18,312.8607482910156
2024-10-21,311.21026611328125
2024-10-22,311.0125732421875
2024-10-23,295.08099365234375
2024-10-24,298.0557861328125
2024-10-25,289.19061279296875
2024-10-28,293.3218078613281
2024-10-29,291.55267333984375
2024-10-30,288.11334228515625
2024-10-31,288.6964416503906
2024-11-01,291.7602233886719
2024-11-04,289.4278259277344
2024-11-05,293.8455810546875
2024-11-06,290.5643615722656
2024-11-07,291.2166442871094
2024-11-08,295.476318359375
2024-11-11,298.0063781738281
2024-11-12,295.1600341796875
2024-11-13,293.8752136230469
2024-11-14,295.07110595703125
2024-11-15,289.21038818359375
2024-11-18,287.6982727050781
2024-11-19,287.3326110839844
2024-11-20,287.510498046875
2024-11-21,285.0989990234375
2024-11-22,286.8878479003906
2024-11-25,292.728759765625
2024-11-26,292.86712646484375
2024-11-27,291.6317443847656
2024-11-29,292.5508728027344
2024-12-02,290.76123046875
2024-12-03,292.80938720703125
2024-12-04,293.39599609375
2024-12-05,297.7508544921875
2024-12-06,297.2637023925781
2024-12-09,299.63995361328125
2024-12-10,298.9837341308594
2024-12-11,294.40020751953125
2024-12-12,294.92718505859375
2024-12-13,294.8973388671875
2024-12-16,296.0009765625
2024-12-17,294.38031005859375
2024-12-18,289.2101745605469
2024-12-19,288.5639343261719
2024-12-20,290.9998474121094
2024-12-23,289.6178283691406
2024-12-24,292.30230712890625
2024-12-26,293.107666015625
2024-12-27,291.9344482421875
2024-12-30,287.9375305175781
