Player,Pos,Age,Tm,G,FG,FG%,eFG%,PTS
Ziaire Williams,SF,21,MEM,37,2.3,.429,.492,5.7
James Bouknight,SG,22,CHO,34,2.0,.358,.443,5.6
Alex Caruso,PG,28,CHI,67,1.9,.455,.551,5.6
Goran Dragić,PG,36,MIL,7,2.0,.389,.486,5.6
Montrezl Harrell,C,29,PHI,57,2.2,.598,.598,5.6
Jalen Johnson,SF,21,ATL,70,2.3,.491,.537,5.6
Kevin Knox,SF,23,DET,42,2.0,.469,.589,5.6
Davion Mitchell,PG,24,SAC,80,2.3,.454,.533,5.6
Payton Pritchard,PG,25,BOS,48,2.1,.412,.527,5.6
Derrick Rose,PG,34,NYK,27,2.3,.384,.443,5.6
Yuta Watanabe,SF,28,BRK,58,2.0,.491,.621,5.6
Jarrell Brantley,PF,26,UTA,4,2.0,.571,.714,5.5
Wenyen Gabriel,C,25,LAL,68,2.3,.596,.615,5.5
Danny Green,SG,35,TOT,11,2.0,.449,.612,5.5
Nikola Jović,PF,19,MIA,15,1.9,.406,.464,5.5
Otto Porter Jr.,SF,29,TOR,8,1.9,.500,.600,5.5
Darius Bazley,C,22,OKC,36,2.0,.449,.506,5.4
Jamal Cain,PF,23,MIA,18,2.1,.561,.614,5.4
Devonte' Graham,PG,27,NOP,53,1.6,.368,.511,5.3
Bryce McGowens,SG,20,CHO,46,1.7,.396,.460,5.3
Lamar Stevens,SF,25,CLE,62,2.1,.448,.500,5.3
Darius Bazley,C,22,TOT,43,1.9,.454,.508,5.2
Dewayne Dedmon,C,33,TOT,38,2.0,.510,.550,5.2
Rudy Gay,PF,36,UTA,56,1.9,.380,.437,5.2
Javonte Green,SF,29,CHI,32,1.9,.565,.625,5.2
George Hill,SG,36,IND,11,1.7,.559,.721,5.2
Zeke Nnaji,PF,22,DEN,53,2.1,.561,.605,5.2
Ricky Rubio,PG,32,CLE,33,1.8,.343,.402,5.2
Lindy Waters III,SG,25,OKC,41,1.7,.393,.556,5.2
MarJon Beauchamp,SF,22,MIL,52,1.8,.395,.492,5.1
DeAndre Jordan,C,34,DEN,39,2.3,.765,.770,5.1
John Konchar,SF,26,MEM,72,1.9,.431,.525,5.1
Vlatko Čančar,PF,25,DEN,60,1.8,.476,.570,5
Isaiah Hartenstein,C,24,NYK,82,2.1,.535,.547,5
Jaxson Hayes,C,22,NOP,47,1.8,.551,.561,5
George Hill,PG-SG,36,TOT,46,1.7,.470,.572,5
George Hill,PG,36,MIL,35,1.7,.447,.534,5
Jonathan Isaac,PF,25,ORL,11,2.0,.415,.472,5
Derrick Jones Jr.,PF,25,CHI,64,1.8,.500,.559,5
Kenneth Lofton Jr.,PF,20,MEM,24,2.0,.527,.559,5
Cody Martin,SF,27,CHO,7,2.0,.389,.431,5
Sam Merrill,SG,26,CLE,5,1.8,.409,.523,5
Blake Wesley,SG,19,SAS,37,1.9,.321,.367,5
Ousmane Dieng,PF,19,OKC,39,1.9,.420,.492,4.9
Chimezie Metu,PF,25,SAC,66,2.0,.589,.610,4.9
Eugene Omoruyi,SF,25,OKC,23,1.9,.468,.511,4.9
Austin Rivers,SG,30,MIN,52,1.8,.435,.538,4.9
Danuel House Jr.,SF,29,PHI,56,1.7,.472,.566,4.8
Johnny Juzang,SG,21,UTA,18,1.9,.337,.409,4.8
Meyers Leonard,C,30,MIL,9,1.6,.483,.603,4.8
Garrison Mathews,SG,26,TOT,54,1.4,.363,.520,4.8
Garrison Mathews,SG,26,HOU,45,1.3,.353,.509,4.8
Garrison Mathews,SG,26,ATL,9,1.4,.419,.581,4.8
Moses Moody,SG,20,GSW,63,1.7,.476,.584,4.8
Christian Braun,SG,21,DEN,76,1.9,.495,.554,4.7
Keon Johnson,SG,20,POR,40,1.7,.376,.455,4.7
Chuma Okeke,SF,24,ORL,27,1.6,.352,.459,4.7
Day'Ron Sharpe,C,21,BRK,48,1.9,.544,.561,4.7
Dean Wade,PF,26,CLE,44,1.7,.412,.540,4.7
TyTy Washington Jr.,PG,21,HOU,31,1.9,.363,.422,4.7
Dalano Banton,PG,23,TOR,31,1.8,.423,.481,4.6
Dāvis Bertāns,PF,30,DAL,45,1.5,.431,.603,4.6
Moses Brown,C,23,LAC,34,1.8,.635,.635,4.6
Thomas Bryant,C,25,DEN,18,1.8,.485,.515,4.6
Malachi Flynn,PG,24,TOR,53,1.6,.360,.457,4.6
Damian Jones,C,27,UTA,19,1.8,.714,.816,4.6
Kira Lewis Jr.,PG,21,NOP,25,1.6,.455,.540,4.6
Gary Payton II,SG,30,TOT,22,1.9,.594,.688,4.6
Will Barton,SG,32,TOR,16,1.8,.354,.443,4.5
Justin Holiday,SF,33,TOT,46,1.7,.377,.490,4.5
Justin Holiday,SF,33,ATL,28,1.7,.384,.504,4.5
Markieff Morris,PF,33,DAL,8,1.8,.424,.545,4.5
Goga Bitadze,C,23,TOT,38,1.8,.552,.576,4.4
Jarrett Culver,SF,23,ATL,10,1.7,.395,.407,4.4
A.J. Green,SG,23,MIL,35,1.5,.424,.600,4.4
Haywood Highsmith,PF,26,MIA,54,1.7,.431,.516,4.4
Justin Holiday,SF,33,DAL,18,1.6,.367,.468,4.4
JaVale McGee,C,35,DAL,42,1.9,.640,.648,4.4
Thaddeus Young,PF,34,TOR,54,2.0,.545,.561,4.4
Omer Yurtseven,C,24,MIA,9,1.8,.593,.648,4.4
Bismack Biyombo,C,30,PHO,61,2.0,.578,.578,4.3
Moses Brown,C,23,TOT,36,1.7,.635,.635,4.3
Michael Carter-Williams,PG,31,ORL,4,1.5,.429,.464,4.3
Justin Minaya,SF,23,POR,4,1.8,.304,.370,4.3
Xavier Sneed,SF,25,CHO,4,1.3,.500,.650,4.3
Paul Reed,C,23,PHI,69,1.8,.593,.596,4.2
Admiral Schofield,PF,25,ORL,37,1.5,.451,.549,4.2
Ish Wainright,SF,28,PHO,60,1.4,.370,.496,4.2
T.J. Warren,SF,29,PHO,16,1.9,.429,.471,4.2
McKinley Wright IV,PG,24,DAL,27,1.7,.469,.515,4.2
Bruno Fernando,C,24,HOU,31,1.5,.516,.516,4.1
Blake Griffin,C,33,BOS,41,1.5,.485,.573,4.1
Kevon Harris,SG,25,ORL,34,1.4,.439,.514,4.1
Serge Ibaka,C,33,MIL,16,1.6,.481,.537,4.1
Gary Payton II,SG,30,POR,15,1.6,.585,.695,4.1
Isaiah Roby,PF,24,SAS,42,1.6,.432,.490,4.1
Matisse Thybulle,SF-SG,25,TOT,71,1.5,.435,.542,4.1
Darius Bazley,C,22,PHO,7,1.7,.480,.520,4
Daishen Nix,PG,20,HOU,57,1.4,.342,.426,4
Olivier Sarr,C,23,OKC,9,1.7,.500,.517,4
Terry Taylor,PF,23,CHI,5,1.8,.900,.950,4
Patrick Baldwin Jr.,SF,20,GSW,31,1.4,.394,.541,3.9
Dominick Barlow,PF,19,SAS,28,1.6,.535,.535,3.9
Gorgui Dieng,C,33,SAS,31,1.5,.385,.474,3.9
Kessler Edwards,SF,22,SAC,22,1.4,.435,.543,3.9
Bruno Fernando,C,24,TOT,39,1.5,.527,.527,3.9
Udonis Haslem,C,42,MIA,7,1.4,.345,.397,3.9
Aaron Holiday,PG,26,ATL,63,1.5,.418,.500,3.9
A.J. Lawson,SG,22,DAL,14,1.5,.488,.605,3.9
Matt Ryan,SF,25,LAL,12,1.3,.306,.439,3.9
Jabari Walker,SF,20,POR,56,1.5,.419,.460,3.9
Jamaree Bouyea,PG,23,MIA,4,1.5,.462,.538,3.8
Xavier Cooks,PF,27,WAS,10,1.7,.607,.607,3.8
Dyson Daniels,PG,19,NOP,59,1.5,.418,.483,3.8
Darius Days,SF,23,HOU,4,1.3,.417,.542,3.8
Caleb Houstan,SF,20,ORL,51,1.3,.363,.489,3.8
Furkan Korkmaz,SG,25,PHI,37,1.3,.432,.514,3.8
Luke Kornet,C,27,BOS,69,1.6,.665,.674,3.8
Markieff Morris,PF,33,TOT,35,1.3,.409,.530,3.8
JT Thor,PF,20,CHO,69,1.4,.399,.481,3.8
Mo Bamba,C,24,LAL,9,1.2,.407,.500,3.7
David Duke Jr.,SG,23,BRK,23,1.6,.462,.468,3.7
Nathan Knight,C,25,MIN,38,1.2,.568,.617,3.7
A.J. Lawson,SG,22,TOT,15,1.5,.500,.614,3.7
Jordan McLaughlin,PG,26,MIN,43,1.4,.421,.503,3.7
Orlando Robinson,C,22,MIA,31,1.5,.528,.528,3.7
Bryn Forbes,SG,29,MIN,25,1.2,.361,.446,3.6
Markieff Morris,PF,33,BRK,27,1.2,.402,.524,3.6
Matt Ryan,SF,25,TOT,34,1.2,.370,.519,3.6
Udoka Azubuike,C,23,UTA,36,1.6,.819,.819,3.5
Dewayne Dedmon,C,33,PHI,8,1.6,.591,.614,3.5
Damian Jones,C,27,TOT,41,1.3,.640,.698,3.5
Miles McBride,PG,22,NYK,64,1.2,.358,.451,3.5
P.J. Tucker,PF,37,PHI,75,1.3,.427,.549,3.5
Amir Coffey,SF,25,LAC,50,1.1,.386,.424,3.4
Bruno Fernando,C,24,ATL,8,1.4,.579,.579,3.4
Taj Gibson,C,37,WAS,49,1.3,.520,.552,3.4
Kai Jones,C,22,CHO,46,1.5,.558,.575,3.4
Wesley Matthews,SF,36,MIL,52,1.1,.363,.484,3.4
Micah Potter,PF,24,UTA,7,1.4,.667,.800,3.4
Matt Ryan,SF,25,MIN,22,1.1,.424,.585,3.4
Jericho Sims,C,24,NYK,52,1.6,.776,.776,3.4
Juan Toscano-Anderson,SF,29,UTA,22,1.4,.403,.429,3.4
Goga Bitadze,C,23,IND,21,1.3,.519,.558,3.3
Anthony Gill,PF,30,WAS,59,1.2,.538,.553,3.3
Boban Marjanović,C,34,HOU,31,1.3,.683,.683,3.3
Raul Neto,PG,30,CLE,48,1.2,.518,.573,3.3
Dru Smith,SG,25,BRK,10,1.3,.419,.484,3.3
Peyton Watson,SG,20,DEN,23,1.3,.492,.542,3.3
Jared Rhoden,SG,23,DET,14,1.2,.386,.443,3.2
Max Christie,SG,19,LAL,41,1.1,.415,.538,3.1
Jordan Hall,SF,21,SAS,9,1.0,.321,.375,3.1
Richaun Holmes,C,29,SAC,42,1.3,.618,.646,3.1
Christian Koloko,C,22,TOR,58,1.2,.480,.483,3.1
Josh Minott,SF,20,MIN,15,1.2,.500,.528,3.1
Jamaree Bouyea,PG,23,TOT,5,1.2,.429,.500,3
Tyler Dorsey,SF,26,DAL,3,1.3,.800,.900,3
Usman Garuba,C,20,HOU,75,1.1,.486,.554,3
Jacob Gilyard,PG,24,MEM,1,1.0,.333,.500,3
Danny Green,SG,35,MEM,3,1.0,.273,.409,3
Jake LaRavia,PF,21,MEM,35,1.1,.389,.516,3
Saben Lee,PG,23,PHI,2,1.5,.750,.750,3
Robin Lopez,C,34,CLE,37,1.3,.640,.653,3
Trevelin Queen,SG,25,IND,7,1.0,.241,.276,3
Juan Toscano-Anderson,SF,29,TOT,52,1.2,.448,.476,3
Juancho Hernangómez,PF,27,TOR,42,1.1,.421,.496,2.9
Carlik Jones,PG,25,CHI,7,0.9,.400,.500,2.9
Frank Ntilikina,SG,24,DAL,47,1.0,.364,.428,2.9
Jason Preston,PG,23,LAC,14,1.3,.439,.500,2.9
Dru Smith,SG,25,TOT,15,1.2,.400,.456,2.9
Terry Taylor,PF,23,TOT,31,1.3,.520,.553,2.9
Kessler Edwards,SF,22,TOT,36,1.0,.387,.478,2.8
James Johnson,PF,35,IND,18,1.2,.449,.480,2.8
Moussa Diabaté,C,21,LAC,22,1.1,.511,.521,2.7
Frank Kaminsky,C,29,ATL,26,1.0,.568,.693,2.7
Terry Taylor,PF,23,IND,26,1.2,.462,.492,2.7
Matisse Thybulle,SF,25,PHI,49,1.0,.431,.522,2.7
Juan Toscano-Anderson,SF,29,LAL,30,1.1,.500,.530,2.7
Ryan Arcidiacono,PG,28,POR,9,0.9,.250,.359,2.6
Mamadi Diakite,C,26,CLE,22,1.1,.480,.550,2.6
Isaiah Mobley,PF,23,CLE,12,1.0,.429,.482,2.6
Jaden Springer,SG,20,PHI,16,1.1,.486,.514,2.6
Justin Champagnie,SF,21,BOS,2,1.0,.167,.208,2.5
Damian Jones,C,27,LAL,22,0.9,.541,.541,2.5
Frank Kaminsky,C,29,TOT,36,0.9,.492,.595,2.5
Lester Quinones,SG,22,GSW,4,0.5,.400,.600,2.5
Ish Smith,PG,34,DEN,43,1.2,.397,.405,2.5
John Butler,C,20,POR,19,0.9,.321,.396,2.4
Jeff Dowtin,PG,25,TOR,25,1.0,.439,.482,2.4
Sandro Mamukelashvili,C,23,MIL,24,0.8,.328,.388,2.4
Theo Pinson,SG,27,DAL,40,0.8,.356,.483,2.4
Neemias Queta,C,23,SAC,5,1.2,.667,.667,2.4
Trent Forrest,SG,24,ATL,23,1.1,.417,.417,2.3
Nerlens Noel,C,28,DET,14,0.9,.400,.417,2.3
Scotty Pippen Jr.,PG,22,LAL,6,0.7,.333,.375,2.3
Davon Reed,SG,27,DEN,35,0.7,.313,.413,2.3
Khem Birch,C,30,TOR,20,1.0,.594,.609,2.2
Justin Champagnie,SF,21,TOT,5,1.0,.333,.367,2.2
Kennedy Chandler,PG,20,MEM,36,1.0,.422,.434,2.2
Ron Harper Jr.,PF,22,TOR,9,0.9,.500,.594,2.2
Dru Smith,SG,25,MIA,5,1.0,.357,.393,2.2
Dalen Terry,SG,20,CHI,38,0.8,.444,.493,2.2
Andre Iguodala,PF,39,GSW,8,0.9,.467,.500,2.1
Nerlens Noel,C,28,TOT,17,0.8,.361,.375,2.1
Davon Reed,SG,27,TOT,43,0.7,.333,.435,2.1
Justin Champagnie,SF,21,TOR,3,1.0,1.000,1.000,2
A.J. Lawson,SG,22,MIN,1,1.0,1.000,1.000,2
Chris Silva,PF,26,DAL,1,1.0,1.000,1.000,2
Garrett Temple,SG,36,NOP,25,0.7,.400,.522,2
Stanley Umude,SG,23,DET,1,0.0,.000,.000,2
Donovan Williams,SG,21,ATL,2,1.0,.400,.400,2
Vince Williams Jr.,SG,22,MEM,15,0.8,.300,.350,2
Ryan Rollins,PG,20,GSW,12,0.6,.350,.425,1.9
Greg Brown III,PF,21,POR,16,0.7,.393,.411,1.8
Trevor Hudgins,PG,23,HOU,5,0.4,.222,.333,1.8
Alize Johnson,PF,26,SAS,4,0.8,.500,.500,1.8
Frank Kaminsky,C,29,HOU,10,0.6,.316,.368,1.8
Xavier Moon,SG,28,LAC,4,0.8,.333,.389,1.8
Alex Len,C,29,SAC,26,0.6,.533,.533,1.7
Dylan Windler,SF,26,CLE,3,0.7,.667,.833,1.7
Buddy Boeheim,SF,23,DET,10,0.5,.185,.259,1.6
Tony Bradley,C,25,CHI,12,0.5,.500,.625,1.6
JD Davison,SG,20,BOS,12,0.7,.421,.474,1.6
Svi Mykhailiuk,SF,25,NYK,13,0.5,.500,.750,1.6
Kendall Brown,SG,19,IND,6,0.7,.571,.571,1.5
Matthew Dellavedova,PG,32,SAC,32,0.5,.340,.430,1.5
Keon Ellis,SG,23,SAC,16,0.4,.438,.625,1.5
Mfiondu Kabengele,PF,25,BOS,4,0.5,.286,.286,1.5
Jordan Schakel,SF,24,WAS,2,0.5,.500,.750,1.5
Isaiah Todd,PF,21,WAS,6,0.5,.158,.184,1.5
Thanasis Antetokounmpo,PF,30,MIL,37,0.5,.435,.435,1.4
PJ Dozier,SF,26,SAC,16,0.6,.303,.333,1.4
Wendell Moore Jr.,SG,21,MIN,29,0.6,.419,.442,1.4
Ryan Arcidiacono,PG,28,TOT,20,0.5,.243,.351,1.3
Facundo Campazzo,PG,31,DAL,8,0.4,.231,.346,1.3
Braxton Key,SF,25,DET,3,0.3,1.000,1.000,1.3
Tyrese Martin,SG,23,ATL,16,0.6,.391,.413,1.3
KZ Okpala,PF,23,SAC,35,0.5,.421,.513,1.3
Cole Swider,SF,23,LAL,7,0.4,.333,.500,1.3
Vit Krejci,PG,22,ATL,29,0.5,.405,.473,1.2
Jack White,SF,25,DEN,17,0.5,.421,.500,1.2
Kessler Edwards,SF,22,BRK,14,0.4,.250,.292,1.1
Noah Vonleh,C,27,BOS,23,0.5,.458,.479,1.1
Malcolm Hill,SF,27,CHI,5,0.4,.500,.625,1
Trevor Keels,SG,19,NYK,3,0.3,.250,.375,1
Chima Moneke,SF,27,SAC,2,0.5,.500,.500,1
Nerlens Noel,C,28,BRK,3,0.3,.167,.167,1
Davon Reed,SG,27,LAL,8,0.4,.750,.875,1
Kobi Simmons,SG,25,CHO,5,0.2,.167,.250,1
Joe Wieskamp,SF,23,TOR,9,0.3,.214,.321,1
Justin Jackson,SF,27,BOS,23,0.3,.259,.352,0.9
Marko Simonovic,C,23,CHI,7,0.3,.286,.357,0.9
Dereon Seabron,SG,22,NOP,5,0.4,.400,.400,0.8
Vernon Carey Jr.,C,21,WAS,11,0.2,.250,.250,0.5
Devon Dotson,PG,23,WAS,6,0.2,.100,.150,0.5
Leandro Bolmaro,SF,22,UTA,14,0.2,.150,.150,0.4
Ryan Arcidiacono,PG,28,NYK,11,0.1,.200,.300,0.3
Jamaree Bouyea,PG,23,WAS,1,0.0,.000,.000,0
Moses Brown,C,23,BRK,2,0.0,,,0
Sterling Brown,SF,27,LAL,4,0.0,.000,.000,0
Deonte Burton,PF,29,SAC,2,0.0,.000,.000,0
Julian Champagnie,SF,21,PHI,2,0.0,.000,.000,0
Michael Foster Jr.,PF,20,PHI,1,0.0,,,0
Frank Jackson,PG,24,UTA,1,0.0,.000,.000,0
Alondes Williams,SG,23,BRK,1,0.0,,,0
