Player,Pos,Age,Tm,G,FG,FG%,eFG%,PTS
Evan Mobley,PF,21,CLE,79,6.6,.554,.566,16.2
RaiQuan Gray,PF,23,BRK,1,6.0,.500,.583,16
Brook Lopez,C,34,MIL,78,6.1,.531,.606,15.9
Russell Westbrook,PG,34,TOT,73,5.9,.436,.481,15.9
Russell Westbrook,PG,34,LAL,52,5.8,.417,.460,15.9
Russell Westbrook,PG,34,LAC,21,6.1,.489,.538,15.8
P.J. Washington,PF,24,CHO,73,5.9,.444,.520,15.7
Cameron Johnson,PF,26,TOT,42,5.3,.470,.579,15.5
De'Andre Hunter,SF,25,ATL,67,5.7,.461,.522,15.4
Scottie Barnes,SF,21,TOR,77,6.0,.456,.487,15.3
Skylar Mays,PG,25,POR,6,5.7,.500,.588,15.3
Wendell Carter Jr.,C,23,ORL,57,5.6,.525,.591,15.2
Kevin Huerter,SG,24,SAC,75,5.6,.485,.603,15.2
Khris Middleton,SF,31,MIL,33,5.4,.436,.499,15.1
Harrison Barnes,PF,30,SAC,82,4.6,.473,.556,15
Malcolm Brogdon,PG,30,BOS,67,5.3,.484,.574,14.9
Immanuel Quickley,SG,23,NYK,81,5.2,.448,.537,14.9
Saddiq Bey,SF,23,DET,52,4.7,.404,.488,14.8
Alperen Şengün,C,20,HOU,75,5.9,.553,.565,14.8
Tobias Harris,SF,30,PHI,74,5.7,.501,.575,14.7
Gordon Hayward,SF,32,CHO,50,5.5,.475,.520,14.7
Trey Murphy III,SF,22,NOP,79,4.9,.484,.610,14.5
Tim Hardaway Jr.,SF,30,DAL,71,4.8,.401,.527,14.4
Jarrett Allen,C,24,CLE,68,5.9,.644,.645,14.3
Dillon Brooks,SF,27,MEM,73,5.4,.396,.468,14.3
Collin Sexton,PG,24,UTA,48,4.9,.506,.558,14.3
Bobby Portis,PF,27,MIL,70,5.7,.496,.555,14.1
Jonas Valančiūnas,C,30,NOP,79,5.6,.547,.570,14.1
Jalen Williams,SG,21,OKC,75,5.5,.521,.567,14.1
Bogdan Bogdanović,SG,30,ATL,54,5.1,.447,.566,14
Mike Conley,PG,35,MIN,24,4.5,.460,.583,14
Markelle Fultz,PG,24,ORL,60,5.8,.514,.534,14
Cameron Johnson,PF,26,PHO,17,4.8,.474,.604,13.9
Chris Paul,PG,37,PHO,59,5.0,.440,.513,13.9
Saddiq Bey,SF,23,TOT,77,4.6,.422,.513,13.8
Luguentz Dort,SF,23,OKC,74,4.6,.388,.466,13.7
Malik Monk,SG,24,SAC,77,4.6,.448,.538,13.5
Malik Beasley,SG,26,UTA,55,4.8,.396,.522,13.4
Rudy Gobert,C,30,MIN,70,5.1,.659,.659,13.4
Jusuf Nurkić,C,28,POR,52,5.0,.519,.561,13.3
Kris Dunn,PG,28,UTA,22,5.3,.537,.576,13.2
John Collins,PF,25,ATL,71,5.1,.508,.557,13.1
Eric Gordon,SG,34,HOU,47,4.5,.439,.528,13.1
Jakob Poeltl,C,27,TOR,26,5.8,.652,.652,13.1
Cole Anthony,PG,22,ORL,60,4.6,.454,.516,13
Devonte' Graham,PG,27,SAS,20,3.8,.380,.513,13
Rui Hachimura,PF,24,WAS,30,5.3,.488,.534,13
Jordan Nwora,SF,24,IND,24,4.9,.476,.569,13
Austin Reaves,SG,24,LAL,64,4.0,.529,.616,13
Tre Jones,PG,23,SAS,68,5.0,.459,.489,12.9
Alec Burks,SG,31,DET,51,3.9,.436,.544,12.8
Jabari Smith Jr.,PF,19,HOU,79,4.6,.408,.475,12.8
Malik Beasley,SG,26,TOT,81,4.6,.395,.520,12.7
Kenyon Martin Jr.,SF,22,HOU,82,5.0,.569,.617,12.7
James Wiseman,C,21,DET,24,5.4,.531,.537,12.7
Nic Claxton,C,23,BRK,76,5.4,.705,.705,12.6
Dennis Schröder,PG,29,LAL,66,4.1,.415,.472,12.6
Mac McClung,SG,24,PHI,2,4.5,.450,.550,12.5
Kelly Olynyk,C,31,UTA,68,4.1,.499,.583,12.5
Jakob Poeltl,C,27,TOT,72,5.4,.629,.629,12.5
Eric Gordon,SG,34,TOT,69,4.2,.446,.547,12.4
Derrick White,SG,28,BOS,82,4.3,.462,.560,12.4
Keegan Murray,SF,22,SAC,80,4.4,.453,.584,12.2
Mason Plumlee,C,32,CHO,56,4.7,.669,.669,12.2
Thomas Bryant,C,25,LAL,41,4.8,.654,.691,12.1
Bones Hyland,PG,22,DEN,42,4.1,.399,.503,12.1
Caris LeVert,SG,28,CLE,74,4.3,.431,.517,12.1
Jaden McDaniels,SF,22,MIN,79,4.7,.517,.591,12.1
Jakob Poeltl,C,27,SAS,46,5.2,.616,.616,12.1
Marvin Bagley III,C,23,DET,42,4.8,.529,.554,12
Clint Capela,C,28,ATL,65,5.4,.653,.653,12
Mike Conley,PG,35,TOT,67,3.9,.428,.539,11.9
Bones Hyland,PG,22,TOT,56,4.1,.399,.502,11.8
Lonnie Walker IV,SG,24,LAL,56,4.2,.448,.534,11.7
Saddiq Bey,SF,23,ATL,25,4.3,.470,.578,11.6
Zach Collins,C,25,SAS,63,4.5,.518,.568,11.6
Bruce Brown,SF,26,DEN,80,4.5,.483,.545,11.5
Naz Reid,C,23,MIN,68,4.6,.537,.602,11.5
Josh Richardson,SG,29,SAS,42,4.2,.436,.527,11.5
Marcus Smart,PG,28,BOS,61,4.1,.415,.511,11.5
Max Strus,SF,26,MIA,80,4.1,.410,.535,11.5
John Wall,PG,32,LAC,34,4.1,.408,.457,11.4
Quentin Grimes,SG,22,NYK,71,4.0,.468,.599,11.3
Luke Kennard,SG,26,MEM,24,3.8,.526,.743,11.3
Isaiah Stewart,C,21,DET,50,3.9,.442,.518,11.3
Rui Hachimura,PF,24,TOT,63,4.5,.486,.530,11.2
Kyle Lowry,PG,36,MIA,55,3.6,.404,.514,11.2
Marcus Morris,PF,33,LAC,65,4.2,.426,.513,11.2
Malik Beasley,SG,26,LAL,26,4.0,.392,.515,11.1
Corey Kispert,SF,23,WAS,74,3.9,.497,.637,11.1
Julian Champagnie,SF,21,SAS,15,3.9,.461,.590,11
Eric Gordon,SG,34,LAC,22,3.7,.463,.597,11
Cam Reddish,SF,23,POR,20,3.9,.443,.523,11
Jeremy Sochan,PF,19,SAS,56,4.5,.453,.483,11
Reggie Jackson,PG,32,LAC,52,4.1,.418,.493,10.9
Kentavious Caldwell-Pope,SG,29,DEN,76,3.8,.462,.569,10.8
Bones Hyland,PG,22,LAC,14,3.9,.401,.496,10.8
Sandro Mamukelashvili,C,23,SAS,19,4.1,.453,.520,10.8
Jaylen Nowell,SG,23,MIN,65,4.3,.448,.502,10.8
Mason Plumlee,C,32,TOT,79,4.2,.680,.680,10.8
