date,price,diff
7/29/2024,53.31786728,-0.068855286
7/30/2024,53.80972672,0.491859436
7/31/2024,53.6129837,-0.196743011
8/1/2024,54.19337845,0.580394745
8/2/2024,53.44574738,-0.747631073
8/5/2024,53.02275085,-0.422996521
8/6/2024,53.24900055,0.226249695
8/7/2024,53.02275085,-0.226249695
8/8/2024,53.43590927,0.413158417
8/9/2024,53.04241562,-0.393493652
8/12/2024,52.37348938,-0.668926239
8/13/2024,51.75374222,-0.619747162
8/14/2024,51.84227753,0.088535309
8/15/2024,52.34704208,0.504764557
8/16/2024,52.64395905,0.296916962
8/19/2024,52.21837234,-0.4255867
8/20/2024,51.50576782,-0.712604523
8/21/2024,52.16888428,0.663116455
8/22/2024,51.683918,-0.484966278
8/23/2024,51.41669083,-0.267227173
8/26/2024,52.22827148,0.811580658
8/27/2024,52.17878723,-0.049484253
8/28/2024,52.71323776,0.534450531
8/29/2024,51.96104431,-0.752193451
8/30/2024,52.66375351,0.702709198
9/3/2024,53.14872742,0.484973907
9/4/2024,52.8122139,-0.336513519
9/5/2024,52.82210922,0.009895325
9/6/2024,51.73340607,-1.088703156
9/9/2024,51.43648529,-0.296920776
9/10/2024,51.76309967,0.32661438
9/11/2024,50.97130966,-0.791790009
9/12/2024,54.63332748,3.662017822
9/13/2024,55.33603668,0.702709198
9/16/2024,55.61316299,0.277126312
9/17/2024,54.47496796,-1.138195038
9/18/2024,54.05927658,-0.415691376
9/19/2024,54.26712418,0.207847595
9/20/2024,54.8213768,0.554252625
9/23/2024,55.56367493,0.742298126
9/24/2024,55.48450089,-0.079174042
9/25/2024,56.01895142,0.534450531
9/26/2024,54.90055847,-1.118392944
9/27/2024,55.93977737,1.039218903
9/30/2024,56.71176529,0.771987915
10/1/2024,56.12782288,-0.583942413
10/2/2024,55.51419067,-0.613632202
10/3/2024,55.04901505,-0.465175629
10/4/2024,55.31624222,0.267227173
10/7/2024,55.38552475,0.069282532
10/8/2024,55.42511368,0.039588928
10/9/2024,55.57357407,0.148460388
10/10/2024,54.64322281,-0.930351257
10/11/2024,54.79168701,0.148464203
10/14/2024,54.70261002,-0.089076996
10/15/2024,55.56367493,0.861064911
10/16/2024,56.0684433,0.504768372
10/17/2024,55.95957184,-0.10887146
10/18/2024,55.94966888,-0.009902954
10/21/2024,55.76162338,-0.188045502
10/22/2024,55.85069656,0.089073181
10/23/2024,57.02848434,1.177787781
10/24/2024,56.10802841,-0.920455933
10/25/2024,56.78104782,0.673019409
