Quarterly Sales
5.17
7.15
10.18
13.39
17.06
18.36
18.88
21.62
30.53
36.36
40.73
45.19
55.67
63.19
72.20
81.19
99.82
119.71
140.41
140.66
152.45
164.03
172.74
193.00
224.13
239.35
255.95
277.23
305.32
303.69
293.97
302.36
326.18
337.61
341.27
359.94
394.1
408.59
423.12
444.19
