date,observed,trend,seasonal,residual
1993-07-01,13001.7,13028.970833333333,-12.036895978009529,-15.233937355322592
1993-08-01,13040.7,13054.491666666667,-9.533684172453897,-4.257982494212163
1993-09-01,13041.6,13083.900000000001,-91.99006438078722,49.690064380786126
1993-10-01,13166.9,13117.779166666665,41.73285228587991,7.387981047454396
1993-11-01,13449.6,13153.070833333333,401.8023835358798,-105.27321686921266
1993-12-01,13747.4,13189.754166666668,565.4392324942133,-7.793399160881222
1994-01-01,13144.4,13228.387499999999,-61.68394458912065,-22.303555410878623
1994-02-01,13006.2,13269.025,-238.6051685474535,-24.219831452545407
1994-03-01,13042.8,13311.954166666666,-220.03941333912047,-49.11475332754668
1994-04-01,13156.2,13356.95,-232.68042896412027,31.930428964120267
1994-05-01,13285.7,13406.425,-125.06519458912057,4.340194589122021
1994-06-01,13419.7,13458.962500000001,-17.3396737557871,-21.922826244213628
1994-07-01,13477.2,13510.7625,-12.036895978009529,-21.52560402199047
1994-08-01,13540.5,13560.070833333333,-9.533684172453897,-10.037149160879315
1994-09-01,13572.1,13603.783333333333,-91.99006438078722,60.30673104745473
1994-10-01,13716.3,13644.324999999997,41.73285228587991,30.242147714122275
1994-11-01,14087.6,13683.80833333333,401.8023835358798,1.989283130789886
1994-12-01,14370.3,13721.479166666662,565.4392324942133,83.38160083912351
1995-01-01,13764.7,13756.199999999997,-61.68394458912065,70.18394458912428
1995-02-01,13569.3,13787.270833333332,-238.6051685474535,20.634335214120654
1995-03-01,13528.8,13815.033333333331,-220.03941333912047,-66.19391999421129
1995-04-01,13643.2,13839.5625,-232.68042896412027,36.317928964120995
1995-05-01,13746.3,13861.466666666667,-125.06519458912057,9.898527922452686
1995-06-01,13863.2,13880.362500000001,-17.3396737557871,0.1771737557867361
1995-07-01,13867.0,13895.237500000001,-12.036895978009529,-16.200604021991563
1995-08-01,13896.4,13907.737500000001,-9.533684172453897,-1.8038158275475578
1995-09-01,13882.5,13922.537500000002,-91.99006438078722,51.952564380785034
1995-10-01,13994.6,13937.608333333335,41.73285228587991,15.258814380785061
1995-11-01,14335.0,13953.85,401.8023835358798,-20.652383535880176
1995-12-01,14576.4,13973.233333333334,565.4392324942133,37.72743417245272
1996-01-01,13915.6,13993.504166666666,-61.68394458912065,-16.220222077544683
1996-02-01,13718.4,14014.858333333332,-238.6051685474535,-57.85316478587862
1996-03-01,13734.9,14036.283333333333,-220.03941333912047,-81.34391999421274
1996-04-01,13798.8,14060.312499999998,-232.68042896412027,-28.83207103587864
1996-05-01,13980.5,14087.925000000001,-125.06519458912057,17.640194589119474
1996-06-01,14094.2,14117.454166666665,-17.3396737557871,-5.914492910876778
1996-07-01,14122.5,14145.066666666666,-12.036895978009529,-10.529770688656168
1996-08-01,14153.4,14169.545833333332,-9.533684172453897,-6.612149160878223
1996-09-01,14139.7,14193.729166666664,-91.99006438078722,37.9608977141237
1996-10-01,14314.1,14218.549999999997,41.73285228587991,53.817147714123
1996-11-01,14678.2,14241.541666666666,401.8023835358798,34.855949797454855
1996-12-01,14941.9,14261.379166666664,565.4392324942133,115.08160083912242
1997-01-01,14212.8,14279.979166666664,-61.68394458912065,-5.4952220775443195
1997-02-01,14008.7,14298.274999999996,-238.6051685474535,-50.96983145254177
1997-03-01,14025.0,14316.049999999997,-220.03941333912047,-71.01058666087698
1997-04-01,14104.4,14333.024999999998,-232.68042896412027,4.055428964122086
1997-05-01,14226.7,14350.233333333332,-125.06519458912057,1.5318612557895364
1997-06-01,14324.1,14368.079166666666,-17.3396737557871,-26.63949291087896
1997-07-01,14339.0,14386.629166666666,-12.036895978009529,-35.59227068865617
1997-08-01,14376.0,14405.158333333333,-9.533684172453897,-19.624649160878953
1997-09-01,14343.7,14421.929166666667,-91.99006438078722,13.760897714121157
1997-10-01,14517.5,14437.975,41.73285228587991,37.79214771411973
1997-11-01,14887.8,14455.858333333335,401.8023835358798,30.139283130784065
1997-12-01,15160.6,14474.841666666669,565.4392324942133,120.31910083911805
1998-01-01,14439.3,14494.520833333334,-61.68394458912065,6.463111255785982
1998-02-01,14226.9,14514.0375,-238.6051685474535,-48.532331452547226
1998-03-01,14209.3,14533.333333333336,-220.03941333912047,-103.99391999421601
1998-04-01,14305.2,14552.095833333333,-232.68042896412027,-14.215404369211853
1998-05-01,14455.1,14569.545833333335,-125.06519458912057,10.619361255785535
1998-06-01,14551.3,14586.975,-17.3396737557871,-18.33532624421399
1998-07-01,14584.1,14606.025,-12.036895978009529,-9.888104021989744
1998-08-01,14599.3,14629.7125,-9.533684172453897,-20.878815827546468
1998-09-01,14583.5,14657.566666666668,-91.99006438078722,17.9233977141197
1998-10-01,14728.0,14687.545833333334,41.73285228587991,-1.2786856192134834
1998-11-01,15096.1,14717.808333333332,401.8023835358798,-23.510716869211933
1998-12-01,15370.6,14747.570833333333,565.4392324942133,57.58993417245381
1999-01-01,14686.5,14778.129166666666,-61.68394458912065,-29.945222077545047
1999-02-01,14548.2,14809.191666666666,-238.6051685474535,-22.386498119211467
1999-03-01,14556.5,14839.708333333334,-220.03941333912047,-63.16891999421347
1999-04-01,14677.5,14870.879166666666,-232.68042896412027,39.30126229745457
